Policy Lever,Cohort Dimension,Cohort Value,Base HighAI Rate,Marginal ΔHighAI,Elasticity
High AI Tool Usage (weekly/daily),ExpBand,0–2,0.1631089217296114,0.3888919165817223,2.384246750318143
High AI Tool Usage (weekly/daily),ExpBand,3–5,0.18885916967089197,0.3888919165817223,2.0591635410629494
High AI Tool Usage (weekly/daily),ExpBand,16+,0.22329135418140653,0.3888919165817223,1.741634457847295
High AI Tool Usage (weekly/daily),ExpBand,11–15,0.24119203453558,0.3888919165817223,1.6123746264280299
High AI Tool Usage (weekly/daily),OrgSize_clean,10–49,0.2507127148326138,0.3888919165817223,1.551145568510008
High AI Tool Usage (weekly/daily),OrgSize_clean,250–999,0.23357354811360745,0.3888919165817223,1.6649655738952502
High AI Tool Usage (weekly/daily),OrgSize_clean,10k+,0.2290784432345231,0.3888919165817223,1.6976364562753177
High AI Tool Usage (weekly/daily),OrgSize_clean,5k–9.9k,0.2350374064837905,0.3888919165817223,1.6545958466766115
High AI Tool Usage (weekly/daily),OrgSize_clean,50–249,0.23738532110091742,0.3888919165817223,1.638230682411893
High AI Tool Usage (weekly/daily),OrgSize_clean,1k–4.9k,0.22591522157996147,0.3888919165817223,1.7214064367242121
High AI Tool Usage (weekly/daily),OrgSize_clean,Unknown,0.11410118406889128,0.3888919165817223,3.408307457588868
High AI Tool Usage (weekly/daily),OrgSize_clean,1,0.25681818181818183,0.3888919165817223,1.5142694096987415
High AI Tool Usage (weekly/daily),RemoteWork_clean,Remote,0.251472920915477,0.3888919165817223,1.5464564342195453
High AI Tool Usage (weekly/daily),RemoteWork_clean,Hybrid,0.23397276612662757,0.3888919165817223,1.6621247122891707
High AI Tool Usage (weekly/daily),RemoteWork_clean,Onsite,0.20119323831620817,0.3888919165817223,1.9329273679193675
AI Training Access,DevType_bucket,Mobile,0.2570194384449244,0.3341982270148154,1.3002838580492395
AI Training Access,DevType_bucket,Web/Fullstack,0.23176526490852933,0.3341982270148154,1.4419685674068252
AI Training Access,DevType_bucket,Other/Unknown,0.2180497498800795,0.3341982270148154,1.5326696187389066
AI Training Access,DevType_bucket,Data/ML,0.2758992805755396,0.3341982270148154,1.2113051774461365
AI Training Access,DevType_bucket,Security,0.23848238482384823,0.3341982270148154,1.4013539291871235
AI Training Access,DevType_bucket,DevOps/Cloud,0.2001338688085676,0.3341982270148154,1.669873415251285
AI Training Access,ExpBand,6–10,0.2218349660889224,0.3341982270148154,1.5065173579572315
AI Training Access,ExpBand,0–2,0.1631089217296114,0.3341982270148154,2.048926713946536
AI Training Access,ExpBand,3–5,0.18885916967089197,0.3341982270148154,1.7695631490765993
AI Training Access,ExpBand,16+,0.22329135418140653,0.3341982270148154,1.4966912993115973
AI Training Access,ExpBand,11–15,0.24119203453558,0.3341982270148154,1.3856105474557676
AI Training Access,OrgSize_clean,10–49,0.2507127148326138,0.3341982270148154,1.332992733288138
AI Training Access,OrgSize_clean,250–999,0.23357354811360745,0.3341982270148154,1.4308051134808522
AI Training Access,OrgSize_clean,10k+,0.2290784432345231,0.3341982270148154,1.458881168808512
AI Training Access,OrgSize_clean,5k–9.9k,0.2350374064837905,0.3341982270148154,1.421893782842875
AI Training Access,OrgSize_clean,50–249,0.23738532110091742,0.3341982270148154,1.407830212352266
AI Training Access,OrgSize_clean,1k–4.9k,0.22591522157996147,0.3341982270148154,1.4793081434600357
AI Training Access,OrgSize_clean,Unknown,0.11410118406889128,0.3341982270148154,2.928963706573241
AI Training Access,OrgSize_clean,1,0.25681818181818183,0.3341982270148154,1.3013028308541483
AI Training Access,RemoteWork_clean,Remote,0.251472920915477,0.3341982270148154,1.3289630780052988
AI Training Access,RemoteWork_clean,Hybrid,0.23397276612662757,0.3341982270148154,1.4283637901427602
AI Training Access,RemoteWork_clean,Onsite,0.20119323831620817,0.3341982270148154,1.6610808087375584
Positive Attitude Toward AI,DevType_bucket,Mobile,0.2570194384449244,0.078409810983047,0.30507346626177106
Positive Attitude Toward AI,DevType_bucket,Web/Fullstack,0.23176526490852933,0.078409810983047,0.3383156272964068
Positive Attitude Toward AI,DevType_bucket,Other/Unknown,0.2180497498800795,0.078409810983047,0.35959596847127745
Positive Attitude Toward AI,DevType_bucket,Data/ML,0.2758992805755396,0.078409810983047,0.28419722885641546
Positive Attitude Toward AI,DevType_bucket,Security,0.23848238482384823,0.078409810983047,0.32878659378118574
Positive Attitude Toward AI,DevType_bucket,DevOps/Cloud,0.2001338688085676,0.078409810983047,0.39178681474472316
Positive Attitude Toward AI,ExpBand,6–10,0.2218349660889224,0.078409810983047,0.3534601075991622
Positive Attitude Toward AI,ExpBand,0–2,0.1631089217296114,0.078409810983047,0.48072055257055996
Positive Attitude Toward AI,ExpBand,3–5,0.18885916967089197,0.078409810983047,0.4151760866029687
Positive Attitude Toward AI,ExpBand,16+,0.22329135418140653,0.078409810983047,0.35115471116425423
Positive Attitude Toward AI,ExpBand,11–15,0.24119203453558,0.078409810983047,0.32509287105615503
Positive Attitude Toward AI,OrgSize_clean,10–49,0.2507127148326138,0.078409810983047,0.3127476443920949
Positive Attitude Toward AI,OrgSize_clean,250–999,0.23357354811360745,0.078409810983047,0.33569645028858053
Positive Attitude Toward AI,OrgSize_clean,10k+,0.2290784432345231,0.078409810983047,0.34228367312053704
Positive Attitude Toward AI,OrgSize_clean,5k–9.9k,0.2350374064837905,0.078409810983047,0.33360566794909124
Positive Attitude Toward AI,OrgSize_clean,50–249,0.23738532110091742,0.078409810983047,0.3303060636580531
Positive Attitude Toward AI,OrgSize_clean,1k–4.9k,0.22591522157996147,0.078409810983047,0.3470762635411633
Positive Attitude Toward AI,OrgSize_clean,Unknown,0.11410118406889128,0.078409810983047,0.6871954188985911
Positive Attitude Toward AI,OrgSize_clean,1,0.25681818181818183,0.078409810983047,0.305312538341068
Positive Attitude Toward AI,RemoteWork_clean,Remote,0.251472920915477,0.078409810983047,0.31180220398124475
Positive Attitude Toward AI,RemoteWork_clean,Hybrid,0.23397276612662757,0.078409810983047,0.33512366537826505
Positive Attitude Toward AI,RemoteWork_clean,Onsite,0.20119323831620817,0.078409810983047,0.3897238875384725
Broad Language Stack,DevType_bucket,Mobile,0.2570194384449244,0.0311561834362336,0.12122111706702651
Broad Language Stack,DevType_bucket,Web/Fullstack,0.23176526490852933,0.0311561834362336,0.13442990884993053
Broad Language Stack,DevType_bucket,Other/Unknown,0.2180497498800795,0.0311561834362336,0.14288566464014987
Broad Language Stack,DevType_bucket,Data/ML,0.2758992805755396,0.0311561834362336,0.11292593214175932
Broad Language Stack,DevType_bucket,Security,0.23848238482384823,0.0311561834362336,0.13064354190875224
Broad Language Stack,DevType_bucket,DevOps/Cloud,0.2001338688085676,0.0311561834362336,0.15567671589877258
Broad Language Stack,ExpBand,6–10,0.2218349660889224,0.0311561834362336,0.14044757679790057
Broad Language Stack,ExpBand,0–2,0.1631089217296114,0.0311561834362336,0.1910145877114053
Broad Language Stack,ExpBand,3–5,0.18885916967089197,0.0311561834362336,0.1649704565074955
Broad Language Stack,ExpBand,16+,0.22329135418140653,0.0311561834362336,0.13953152620016657
Broad Language Stack,ExpBand,11–15,0.24119203453558,0.0311561834362336,0.12917583906212093
Broad Language Stack,OrgSize_clean,10–49,0.2507127148326138,0.0311561834362336,0.12427045615550354
Broad Language Stack,OrgSize_clean,250–999,0.23357354811360745,0.0311561834362336,0.13338917736129777
Broad Language Stack,OrgSize_clean,10k+,0.2290784432345231,0.0311561834362336,0.13600661413757253
Broad Language Stack,OrgSize_clean,5k–9.9k,0.2350374064837905,0.0311561834362336,0.13255840379766232
Broad Language Stack,OrgSize_clean,50–249,0.23738532110091742,0.0311561834362336,0.13124730413717728
Broad Language Stack,OrgSize_clean,1k–4.9k,0.22591522157996147,0.0311561834362336,0.13791095269428774
Broad Language Stack,OrgSize_clean,Unknown,0.11410118406889128,0.0311561834362336,0.2730574944552926
Broad Language Stack,OrgSize_clean,1,0.25681818181818183,0.0311561834362336,0.12131611249506886
Broad Language Stack,RemoteWork_clean,Remote,0.251472920915477,0.0311561834362336,0.12389478486514878
Broad Language Stack,RemoteWork_clean,Hybrid,0.23397276612662757,0.0311561834362336,0.13316158094815048
Broad Language Stack,RemoteWork_clean,Onsite,0.20119323831620817,0.0311561834362336,0.15485701058833073
Has Stack Overflow Account,DevType_bucket,Mobile,0.2570194384449244,0.0239937156047871,0.09335370021022207
Has Stack Overflow Account,DevType_bucket,Web/Fullstack,0.23176526490852933,0.0239937156047871,0.10352593437267957
Has Stack Overflow Account,DevType_bucket,Other/Unknown,0.2180497498800795,0.0239937156047871,0.11003780384055882
Has Stack Overflow Account,DevType_bucket,Data/ML,0.2758992805755396,0.0239937156047871,0.08696548811122312
Has Stack Overflow Account,DevType_bucket,Security,0.23848238482384823,0.0239937156047871,0.10061001202461864
Has Stack Overflow Account,DevType_bucket,DevOps/Cloud,0.2001338688085676,0.0239937156047871,0.11988833148345128
Has Stack Overflow Account,ExpBand,6–10,0.2218349660889224,0.0239937156047871,0.1081602058855286
Has Stack Overflow Account,ExpBand,0–2,0.1631089217296114,0.0239937156047871,0.14710241077163097
Has Stack Overflow Account,ExpBand,3–5,0.18885916967089197,0.0239937156047871,0.12704554217091396
Has Stack Overflow Account,ExpBand,16+,0.22329135418140653,0.0239937156047871,0.10745474536060232
Has Stack Overflow Account,ExpBand,11–15,0.24119203453558,0.0239937156047871,0.09947971810506707
Has Stack Overflow Account,OrgSize_clean,10–49,0.2507127148326138,0.0239937156047871,0.09570202939570216
Has Stack Overflow Account,OrgSize_clean,250–999,0.23357354811360745,0.0239937156047871,0.10272445573809941
Has Stack Overflow Account,OrgSize_clean,10k+,0.2290784432345231,0.0239937156047871,0.10474017225716482
Has Stack Overflow Account,OrgSize_clean,5k–9.9k,0.2350374064837905,0.0239937156047871,0.10208466798429314
Has Stack Overflow Account,OrgSize_clean,50–249,0.23738532110091742,0.0239937156047871,0.10107497588103552
Has Stack Overflow Account,OrgSize_clean,1k–4.9k,0.22591522157996147,0.0239937156047871,0.10620672408430282
Has Stack Overflow Account,OrgSize_clean,Unknown,0.11410118406889128,0.0239937156047871,0.21028454525327564
Has Stack Overflow Account,OrgSize_clean,1,0.25681818181818183,0.0239937156047871,0.09342685722217986
Has Stack Overflow Account,RemoteWork_clean,Remote,0.251472920915477,0.0239937156047871,0.09541272085057488
Has Stack Overflow Account,RemoteWork_clean,Hybrid,0.23397276612662757,0.0239937156047871,0.10254918126582967
Has Stack Overflow Account,RemoteWork_clean,Onsite,0.20119323831620817,0.0239937156047871,0.11925706751176718
Has SQL/Data Skill,DevType_bucket,Mobile,0.2570194384449244,0.0238517292920298,0.09280126606898989
Has SQL/Data Skill,DevType_bucket,Web/Fullstack,0.23176526490852933,0.0238517292920298,0.10291330455166933
Has SQL/Data Skill,DevType_bucket,Other/Unknown,0.2180497498800795,0.0238517292920298,0.10938663908189532
Has SQL/Data Skill,DevType_bucket,Data/ML,0.2758992805755396,0.0238517292920298,0.08645085714712235
Has SQL/Data Skill,DevType_bucket,Security,0.23848238482384823,0.0238517292920298,0.10001463759953406
Has SQL/Data Skill,DevType_bucket,DevOps/Cloud,0.2001338688085676,0.0238517292920298,0.119178874790276
Has SQL/Data Skill,ExpBand,6–10,0.2218349660889224,0.0238517292920298,0.1075201520867042
Has SQL/Data Skill,ExpBand,0–2,0.1631089217296114,0.0238517292920298,0.14623191079375317
Has SQL/Data Skill,ExpBand,3–5,0.18885916967089197,0.0238517292920298,0.1262937316392637
Has SQL/Data Skill,ExpBand,16+,0.22329135418140653,0.0238517292920298,0.10681886622736034
Has SQL/Data Skill,ExpBand,11–15,0.24119203453558,0.0238517292920298,0.09889103235916051
Has SQL/Data Skill,OrgSize_clean,10–49,0.2507127148326138,0.0238517292920298,0.09513569867389535
Has SQL/Data Skill,OrgSize_clean,250–999,0.23357354811360745,0.0238517292920298,0.10211656878384448
Has SQL/Data Skill,OrgSize_clean,10k+,0.2290784432345231,0.0238517292920298,0.10412035700631671
Has SQL/Data Skill,OrgSize_clean,5k–9.9k,0.2350374064837905,0.0238517292920298,0.10148056706741593
Has SQL/Data Skill,OrgSize_clean,50–249,0.23738532110091742,0.0238517292920298,0.1004768499644927
Has SQL/Data Skill,OrgSize_clean,1k–4.9k,0.22591522157996147,0.0238517292920298,0.10557823029904875
Has SQL/Data Skill,OrgSize_clean,Unknown,0.11410118406889128,0.0238517292920298,0.20904015577637441
Has SQL/Data Skill,OrgSize_clean,1,0.25681818181818183,0.0238517292920298,0.09287399016365586
Has SQL/Data Skill,RemoteWork_clean,Remote,0.251472920915477,0.0238517292920298,0.09484810215429376
Has SQL/Data Skill,RemoteWork_clean,Hybrid,0.23397276612662757,0.0238517292920298,0.1019423315238368
Has SQL/Data Skill,RemoteWork_clean,Onsite,0.20119323831620817,0.0238517292920298,0.11855134641524531
Frequent Stack Overflow Visitor,DevType_bucket,Mobile,0.2570194384449244,-0.0055812485610287,-0.02171527801475872
Frequent Stack Overflow Visitor,DevType_bucket,Web/Fullstack,0.23176526490852933,-0.0055812485610287,-0.0240814712387184
Frequent Stack Overflow Visitor,DevType_bucket,Other/Unknown,0.2180497498800795,-0.0055812485610287,-0.025596216295126276
Frequent Stack Overflow Visitor,DevType_bucket,Data/ML,0.2758992805755396,-0.0055812485610287,-0.020229297261616406
Frequent Stack Overflow Visitor,DevType_bucket,Security,0.23848238482384823,-0.0055812485610287,-0.02340318998885898
Frequent Stack Overflow Visitor,DevType_bucket,DevOps/Cloud,0.2001338688085676,-0.0055812485610287,-0.027887576421996248
Frequent Stack Overflow Visitor,ExpBand,6–10,0.2218349660889224,-0.0055812485610287,-0.025159462727762493
Frequent Stack Overflow Visitor,ExpBand,0–2,0.1631089217296114,-0.0055812485610287,-0.03421792322483032
Frequent Stack Overflow Visitor,ExpBand,3–5,0.18885916967089197,-0.0055812485610287,-0.029552436192294203
Frequent Stack Overflow Visitor,ExpBand,16+,0.22329135418140653,-0.0055812485610287,-0.02499536348592511
Frequent Stack Overflow Visitor,ExpBand,11–15,0.24119203453558,-0.0055812485610287,-0.023140269005050285
Frequent Stack Overflow Visitor,OrgSize_clean,10–49,0.2507127148326138,-0.0055812485610287,-0.02226152975430453
Frequent Stack Overflow Visitor,OrgSize_clean,250–999,0.23357354811360745,-0.0055812485610287,-0.023895036942770786
Frequent Stack Overflow Visitor,OrgSize_clean,10k+,0.2290784432345231,-0.0055812485610287,-0.024363918674420178
Frequent Stack Overflow Visitor,OrgSize_clean,5k–9.9k,0.2350374064837905,-0.0055812485610287,-0.023746214036843592
Frequent Stack Overflow Visitor,OrgSize_clean,50–249,0.23738532110091742,-0.0055812485610287,-0.023511346595251333
Frequent Stack Overflow Visitor,OrgSize_clean,1k–4.9k,0.22591522157996147,-0.0055812485610287,-0.024705057596365845
Frequent Stack Overflow Visitor,OrgSize_clean,Unknown,0.11410118406889128,-0.0055812485610287,-0.04891490484146851
Frequent Stack Overflow Visitor,OrgSize_clean,1,0.25681818181818183,-0.0055812485610287,-0.021732295281881663
Frequent Stack Overflow Visitor,RemoteWork_clean,Remote,0.251472920915477,-0.0055812485610287,-0.0221942328450729
Frequent Stack Overflow Visitor,RemoteWork_clean,Hybrid,0.23397276612662757,-0.0055812485610287,-0.023854265833691483
Frequent Stack Overflow Visitor,RemoteWork_clean,Onsite,0.20119323831620817,-0.0055812485610287,-0.02774073625802897
