ResponseId,Country,Industry,EdLevel,Employment,ICorPM,Pay_USD,LogPay,AISelect,LearnCodeAI,AIAgents,AI_IntensityScore,HighAI,DevType,DevType_bucket,OrgSize_clean,RemoteWork_clean,ExpBand,WorkExp_num,YearsCode_num,NumLangs,NumDBs,NumClouds,NumWeb,SQL_any,BI_any,ToolCountWork,ToolCountPersonal,JobSat,SOVisitFreq,SOPartFreq,AISent,AIAcc,AIComplex,AIThreat,SOFriction,NewRole,MainBranch_clean,MainBranch_sort,SOAccount_clean,HasSOAccount,SODuration_clean,SODuration_sort,SODuration_years,SOComm_clean,SOComm_likert,SOComm_sort,EmpAddl_none_of_the_above,EmpAddl_caring_for_dependents_children_elder,EmpAddl_engaged_in_paid_work_20_29_hours_per,EmpAddl_volunteering_regularly,EmpAddl_attending_school_full_time,EmpAddl_engaged_in_paid_work_less_than_10_ho,EmpAddl_attending_school_part_time,EmpAddl_engaged_in_paid_work_10_19_hours_per,EmpAddl_transitioning_to_retirement_graduall,EmpAddl_count,EmpAddl_Other
12683,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,Individual contributor,,,,"No, I learned something that was not related to AI or AI enablement for my personal curiosity and/or hobbies",,0.0,0,"Developer, desktop or enterprise applications",Other/Unknown,10–49,Onsite,,,,0,0,0,0,0,0,,,,,,,,,,,,Learning to code,5.0,,,,,,,,,0,0,0,0,0,0,0,1,0,1,0
28571,Niger,Other:,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Employed,People manager,,,"Yes, I use AI tools daily","Yes, I learned how to use AI-enabled tools required for my job or to benefit my career","Yes, I use AI agents at work daily",5.0,1,Other (please specify):,Other/Unknown,10k+,Hybrid,16+,100.0,100.0,42,0,42,6,1,0,,,0.0,"Infrequently, less than once per year",I have never participated in Q&A on Stack Overflow,Very favorable,Highly trust,Very well at handling complex tasks,Yes,,I have neither consider or transitioned into a new career or industry,Pro developer,1.0,No,0.0,I don't use Stack Overflow,7.0,,"No, not at all",1.0,1.0,1,0,0,0,0,0,0,0,0,1,0
46177,,,,"Independent contractor, freelancer, or self-employed",,,,,"No, I learned something that was not related to AI or AI enablement for my personal curiosity and/or hobbies",,0.0,0,Student,Other/Unknown,1,,16+,20.0,2.0,0,0,0,0,0,0,,,,,,,,,,,,Former developer,6.0,,,,,,,,,0,0,1,0,0,0,0,0,0,1,0
29424,Serbia,Software Development,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,Individual contributor,71823.0,11.181960038002089,"Yes, I use AI tools weekly","Yes, I learned how to use AI-enabled tools required for my job or to benefit my career","No, and I don't plan to",2.4,0,"Developer, mobile",Mobile,1k–4.9k,Hybrid,11–15,14.0,20.0,1,0,0,0,0,0,11.0,11.0,7.0,A few times per month or weekly,"Infrequently, less than once per year",Favorable,Somewhat trust,I don't use AI tools for complex tasks / I don't know,I'm not sure,"Rarely, almost never",I have strongly considered changing my career and/or the industry I work in,Pro developer,1.0,Yes,1.0,Between 10 and 15 years,5.0,12.5,Neutral,3.0,3.0,0,1,0,0,0,0,0,0,0,1,0
148,Poland,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Not employed,,130992.0,11.78289153161623,"Yes, I use AI tools daily","Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies","Yes, I use AI agents at work daily",4.8,1,"Developer, back-end",Web/Fullstack,,,3–5,5.0,15.0,7,0,0,4,1,0,,,7.0,A few times per week,Less than once per month or monthly,Favorable,Somewhat distrust,Very poor at handling complex tasks,No,"Rarely, almost never",I have transitioned into a new career and/or industry voluntarily,Pro developer,1.0,Yes,1.0,Between 5 and 10 years,4.0,7.5,"Yes, somewhat",4.0,4.0,0,0,0,1,0,0,0,0,0,1,0
36343,Sweden,Software Development,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,Individual contributor,83019.0,11.326824776244193,"No, but I plan to soon","No, I didn't spend time learning in the past year","No, but I plan to",1.1,0,"Developer, full-stack",Other/Unknown,10–49,Onsite,6–10,7.0,13.0,5,3,6,2,1,0,3.0,1.0,,A few times per week,I have never participated in Q&A on Stack Overflow,Indifferent,Neither trust nor distrust,Bad at handling complex tasks,No,"Rarely, almost never",I have neither consider or transitioned into a new career or industry,Pro developer,1.0,No,0.0,Between 10 and 15 years,5.0,12.5,"No, not really",2.0,2.0,1,0,0,0,0,0,0,0,0,1,0
6096,Nigeria,Software Development,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",Individual contributor,3000.0,8.006367567650246,"Yes, I use AI tools weekly","Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies","No, and I don't plan to",3.0,0,"Developer, full-stack",Other/Unknown,1,Remote,6–10,9.0,12.0,5,3,6,4,1,0,,,6.0,A few times per week,A few times per month or weekly,Favorable,Somewhat distrust,Bad at handling complex tasks,I'm not sure,"Rarely, almost never",I have somewhat considered changing my career and/or the industry I work in,Pro developer,1.0,Yes,1.0,Between 5 and 10 years,4.0,7.5,"Yes, somewhat",4.0,4.0,0,1,0,0,0,1,0,0,0,2,0
20461,,,"Associate degree (A.A., A.S., etc.)",Employed,Individual contributor,,,,"Yes, I learned how to use AI-enabled tools required for my job or to benefit my career",,1.2,0,"Developer, full-stack",Other/Unknown,10–49,Remote,6–10,6.0,7.0,0,0,0,0,0,0,,,,,,,,,,,,Pro developer,1.0,,,,,,,,,1,0,0,0,0,0,0,0,0,1,0
7273,United States of America,Higher Education,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,Individual contributor,83000.0,11.326595886778737,"Yes, I use AI tools daily","Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies","No, but I plan to",3.7,0,System administrator,Other/Unknown,1k–4.9k,Remote,3–5,3.0,8.0,7,3,6,0,1,0,8.0,,7.0,A few times per week,I have never participated in Q&A on Stack Overflow,Indifferent,Neither trust nor distrust,Neither good or bad at handling complex tasks,I'm not sure,"Rarely, almost never",I have somewhat considered changing my career and/or the industry I work in,Pro developer,1.0,Not sure,,Between 5 and 10 years,4.0,7.5,Neutral,3.0,3.0,0,0,0,0,0,0,0,0,0,0,0
12552,Spain,Software Development,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,People manager,58007.0,10.96831897190132,"Yes, I use AI tools monthly or infrequently","Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies","No, and I don't plan to",2.4,0,"Developer, full-stack",Other/Unknown,10–49,Remote,11–15,11.0,25.0,5,4,6,6,1,0,6.0,3.0,9.0,A few times per month or weekly,Less than once every 2 - 3 months,Unfavorable,Highly distrust,Very poor at handling complex tasks,No,"Rarely, almost never",I have neither consider or transitioned into a new career or industry,Pro developer,1.0,Yes,1.0,Between 5 and 10 years,4.0,7.5,Neutral,3.0,3.0,1,0,0,0,0,0,0,0,0,1,0
35530,Hungary,Software Development,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",Individual contributor,86750.0,11.370785697809104,"No, and I don't plan to","No, I learned something that was not related to AI or AI enablement as required for my job or to benefit my career","No, and I don't plan to",-0.6000000000000001,0,"Developer, game or graphics",Other/Unknown,1,Remote,16+,17.0,17.0,5,0,0,0,0,0,10.0,10.0,7.0,Less than once per month or monthly,Less than once every 2 - 3 months,Very unfavorable,Highly distrust,Very poor at handling complex tasks,No,I don't use AI or AI-enabled tools,I have somewhat considered changing my career and/or the industry I work in,Pro developer,1.0,Yes,1.0,"More than 15 years, or since Stack Overflow started in 2008",6.0,17.0,Neutral,3.0,3.0,0,0,0,0,0,0,0,1,0,1,0
47496,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,,,,,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",,1.0,0,"Developer, full-stack",Other/Unknown,,,3–5,4.0,11.0,0,0,0,0,0,0,,,,,,,,,,,,Pro developer,1.0,,,,,,,,,1,0,0,0,0,0,0,0,0,1,0
6052,Germany,Software Development,"Associate degree (A.A., A.S., etc.)",Employed,Individual contributor,43157.0,10.672599908151772,"Yes, I use AI tools weekly","Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies","No, but I plan to",3.8,0,"Developer, back-end",Web/Fullstack,10–49,Remote,3–5,3.0,7.0,7,3,5,0,1,0,7.0,2.0,6.0,Multiple times per day,I have never participated in Q&A on Stack Overflow,Favorable,Somewhat distrust,Bad at handling complex tasks,No,Less than half of the time,I have somewhat considered changing my career and/or the industry I work in,Pro developer,1.0,No,0.0,Between 5 and 10 years,4.0,7.5,Neutral,3.0,3.0,1,0,0,0,0,0,0,0,0,1,0
31273,Ukraine,Fintech,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",,72000.0,11.184421397998191,"Yes, I use AI tools daily","Yes, I learned how to use AI-enabled tools required for my job or to benefit my career","Yes, I use AI agents at work daily",5.5,1,DevOps engineer or professional,DevOps/Cloud,,,6–10,10.0,5.0,2,4,6,1,0,0,4.0,8.0,,A few times per month or weekly,I have never participated in Q&A on Stack Overflow,Very favorable,Somewhat trust,Very well at handling complex tasks,No,Less than half of the time,I have transitioned into a new career and/or industry voluntarily,Dev-adjacent,2.0,Yes,1.0,Between 5 and 10 years,4.0,7.5,Neutral,3.0,3.0,0,0,0,1,0,0,0,0,0,1,0
46862,Ukraine,Other:,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,People manager,71899.0,11.183017635406577,"Yes, I use AI tools daily","Yes, I learned how to use AI-enabled tools required for my job or to benefit my career","Yes, I use AI agents at work daily",5.2,1,Other (please specify):,Other/Unknown,250–999,Hybrid,11–15,11.0,2.0,0,0,0,0,0,0,5.0,3.0,,,,Very favorable,Neither trust nor distrust,Bad at handling complex tasks,No,I don't use AI or AI-enabled tools,I have somewhat considered changing my career and/or the industry I work in,Dev-adjacent,2.0,No,0.0,I don't use Stack Overflow,7.0,,Not sure,,6.0,0,1,1,1,0,0,0,0,0,3,0
33829,Portugal,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Student,,,,"Yes, I use AI tools daily","Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies","No, and I don't plan to",3.4,0,Student,Other/Unknown,,,0–2,1.0,2.0,11,2,0,5,1,0,5.0,2.0,,A few times per week,I have never participated in Q&A on Stack Overflow,Favorable,Somewhat trust,Bad at handling complex tasks,I'm not sure,I don't use AI or AI-enabled tools,I have somewhat considered changing my career and/or the industry I work in,Learning to code,5.0,No,0.0,Between 1 and 3 years,2.0,2.0,"No, not really",2.0,2.0,0,0,0,1,1,0,0,0,0,2,0
8041,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,Individual contributor,,,,"No, I didn't spend time learning in the past year",,-0.2,0,"Developer, back-end",Web/Fullstack,10–49,Hybrid,16+,18.0,25.0,0,0,0,0,0,0,,,,,,,,,,,,Pro developer,1.0,,,,,,,,,1,0,0,0,0,0,0,0,0,1,0
21613,Romania,Software Development,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,Individual contributor,75357.0,11.22999209954065,"No, and I don't plan to","No, I learned something that was not related to AI or AI enablement for my personal curiosity and/or hobbies","No, and I don't plan to",-0.9,0,"Developer, back-end",Web/Fullstack,50–249,Remote,16+,27.0,35.0,1,2,5,1,1,0,,,6.0,A few times per week,Less than once per month or monthly,Unfavorable,Somewhat distrust,I don't use AI tools for complex tasks / I don't know,Yes,I don't use AI or AI-enabled tools,I have transitioned into a new career and/or industry involuntarily,Pro developer,1.0,Yes,1.0,Between 10 and 15 years,5.0,12.5,Neutral,3.0,3.0,1,0,0,0,0,0,0,0,0,1,0
39910,China,Manufacturing,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",People manager,27857.0,10.234839560272292,"Yes, I use AI tools daily","Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies","Yes, I use AI agents at work monthly or infrequently",4.1,1,"Developer, full-stack",Other/Unknown,1,Onsite,6–10,9.0,11.0,7,2,6,4,1,0,8.0,5.0,,A few times per month or weekly,"Infrequently, less than once per year",Favorable,Somewhat distrust,Bad at handling complex tasks,No,About half of the time,I have somewhat considered changing my career and/or the industry I work in,Former developer,6.0,Yes,1.0,Between 5 and 10 years,4.0,7.5,Neutral,3.0,3.0,0,0,1,0,0,0,0,0,0,1,0
39472,Bangladesh,Software Development,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Employed,,,,"Yes, I use AI tools daily","Yes, I learned how to use AI-enabled tools required for my job or to benefit my career","Yes, I use AI agents at work weekly",4.4,1,"Developer, full-stack",Other/Unknown,10–49,Onsite,3–5,3.0,5.0,0,0,0,0,0,0,,,7.0,,,Favorable,Somewhat trust,Bad at handling complex tasks,No,,,Pro developer,1.0,,,,,,,,,1,0,0,0,0,0,0,0,0,1,0
13728,Ukraine,Software Development,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Independent contractor, freelancer, or self-employed",,17256.0,9.755915188068991,"Yes, I use AI tools weekly","Yes, I learned how to use AI-enabled tools required for my job or to benefit my career","No, I use AI exclusively in copilot/autocomplete mode",3.1,0,"Developer, front-end",Web/Fullstack,,,6–10,7.0,19.0,4,2,8,6,1,0,10.0,30.0,3.0,Daily or almost daily,I have never participated in Q&A on Stack Overflow,Favorable,Somewhat distrust,Bad at handling complex tasks,Yes,"Rarely, almost never",I have strongly considered changing my career and/or the industry I work in,Pro developer,1.0,No,0.0,Between 5 and 10 years,4.0,7.5,"No, not really",2.0,2.0,0,1,0,0,0,0,0,0,0,1,0
33375,Hong Kong (S.A.R.),Computer Systems Design and Services,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,Individual contributor,70064.0,11.15716438904118,"Yes, I use AI tools daily","Yes, I learned how to use AI-enabled tools required for my job or to benefit my career","No, but I plan to",3.9,0,Cybersecurity or InfoSec professional,Security,10–49,Onsite,11–15,15.0,3.0,7,5,9,2,1,0,8.0,5.0,,Less than once per month or monthly,I have never participated in Q&A on Stack Overflow,Very favorable,Highly trust,"Good, but not great at handling complex tasks",No,Less than half of the time,I have transitioned into a new career and/or industry voluntarily,Occasional coder,3.0,No,0.0,Between 1 and 3 years,2.0,2.0,"No, not really",2.0,2.0,0,1,0,1,0,0,1,0,0,3,0
32931,United Kingdom of Great Britain and Northern Ireland,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Not employed,,,,"No, and I don't plan to","No, I learned something that was not related to AI or AI enablement for my personal curiosity and/or hobbies","No, and I don't plan to",-0.9,0,"Developer, back-end",Web/Fullstack,,,0–2,1.0,4.0,7,1,3,1,1,0,,2.0,,A few times per week,I have never participated in Q&A on Stack Overflow,Very unfavorable,Highly distrust,I don't use AI tools for complex tasks / I don't know,No,I don't use AI or AI-enabled tools,I have neither consider or transitioned into a new career or industry,Former developer,6.0,Not sure,,Between 3 and 5 years,3.0,4.0,"No, not at all",1.0,1.0,0,0,0,1,0,0,0,0,0,1,0
20125,United Kingdom of Great Britain and Northern Ireland,"Internet, Telecomm or Information Services","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,Individual contributor,95299.0,11.464774596407803,"Yes, I use AI tools daily","Yes, I learned how to use AI-enabled tools required for my job or to benefit my career","Yes, I use AI agents at work weekly",5.2,1,"Developer, full-stack",Other/Unknown,10k+,Hybrid,11–15,14.0,14.0,10,3,9,4,1,0,10.0,10.0,7.0,Daily or almost daily,I have never participated in Q&A on Stack Overflow,Indifferent,Somewhat distrust,Bad at handling complex tasks,I'm not sure,"Rarely, almost never",I have somewhat considered changing my career and/or the industry I work in,Pro developer,1.0,Yes,1.0,Between 10 and 15 years,5.0,12.5,"No, not really",2.0,2.0,1,0,0,0,0,0,0,0,0,1,0
38808,Belgium,Software Development,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,Individual contributor,,,"Yes, I use AI tools daily","Yes, I learned how to use AI-enabled tools required for my job or to benefit my career","No, and I don't plan to",3.1,0,"Developer, desktop or enterprise applications",Other/Unknown,10–49,Hybrid,6–10,8.0,22.0,11,3,8,0,1,0,5.0,0.0,9.0,A few times per month or weekly,I have never participated in Q&A on Stack Overflow,Very favorable,Somewhat distrust,Neither good or bad at handling complex tasks,No,More than half the time,I have somewhat considered changing my career and/or the industry I work in,Pro developer,1.0,No,0.0,"More than 15 years, or since Stack Overflow started in 2008",6.0,17.0,"No, not really",2.0,2.0,0,0,1,0,0,0,0,0,0,1,0
14470,Spain,Software Development,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,Individual contributor,35965.0,10.490301522301456,"Yes, I use AI tools daily","Yes, I learned how to use AI-enabled tools required for my job or to benefit my career","No, I use AI exclusively in copilot/autocomplete mode",4.0,0,Applied scientist,Other/Unknown,50–249,Remote,3–5,4.0,8.0,3,2,3,0,0,0,6.0,2.0,3.0,Daily or almost daily,Less than once per month or monthly,Favorable,Somewhat trust,Bad at handling complex tasks,I'm not sure,About half of the time,I have strongly considered changing my career and/or the industry I work in,Pro developer,1.0,Yes,1.0,Between 3 and 5 years,3.0,4.0,"Yes, somewhat",4.0,4.0,1,0,0,0,0,0,0,0,0,1,0
16090,Italy,Software Development,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,People manager,46406.0,10.745184040199312,"Yes, I use AI tools daily","No, I didn't spend time learning in the past year","No, but I plan to",3.0,0,"Developer, back-end",Web/Fullstack,10k+,Hybrid,16+,16.0,16.0,6,7,6,0,1,0,5.0,5.0,,,,Favorable,Somewhat trust,"Good, but not great at handling complex tasks",Yes,,I have somewhat considered changing my career and/or the industry I work in,Occasional coder,3.0,,,,,,,,,1,0,0,0,0,0,0,0,0,1,0
43750,Ukraine,Software Development,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,Individual contributor,,,"Yes, I use AI tools daily","Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies","Yes, I use AI agents at work daily",5.3,1,"Developer, back-end",Web/Fullstack,50–249,Remote,0–2,1.0,5.0,6,5,6,5,1,0,3.0,2.0,8.0,A few times per week,I have never participated in Q&A on Stack Overflow,Unfavorable,Neither trust nor distrust,Very poor at handling complex tasks,No,About half of the time,I have neither consider or transitioned into a new career or industry,Pro developer,1.0,Not sure,,Between 3 and 5 years,3.0,4.0,Neutral,3.0,3.0,1,0,0,0,0,0,0,0,0,1,0
41767,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",,,,,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",,1.0,0,Student,Other/Unknown,,,0–2,1.0,5.0,0,0,0,0,0,0,,,,,,,,,,,,Pro developer,1.0,,,,,,,,,1,0,0,0,0,0,0,0,0,1,0
47097,Poland,Retail and Consumer Services,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",Individual contributor,68225.0,11.130566345576538,"Yes, I use AI tools weekly","Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies","No, I use AI exclusively in copilot/autocomplete mode",2.9,0,DevOps engineer or professional,DevOps/Cloud,250–999,Hybrid,11–15,13.0,5.0,6,4,8,0,1,0,7.0,16.0,,Daily or almost daily,Less than once per month or monthly,Favorable,Highly distrust,Very poor at handling complex tasks,No,Less than half of the time,I have transitioned into a new career and/or industry voluntarily,Occasional coder,3.0,Yes,1.0,Between 10 and 15 years,5.0,12.5,"No, not really",2.0,2.0,0,1,1,0,0,0,0,0,0,2,0
2639,United Kingdom of Great Britain and Northern Ireland,Software Development,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,Individual contributor,36758.0,10.512111168025418,"Yes, I use AI tools weekly","Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies","No, and I don't plan to",2.5,0,"Developer, full-stack",Other/Unknown,10–49,Remote,3–5,3.0,10.0,5,2,4,3,1,0,8.0,4.0,4.0,A few times per month or weekly,Less than once every 2 - 3 months,Indifferent,Somewhat distrust,"Good, but not great at handling complex tasks",No,Less than half of the time,I have somewhat considered changing my career and/or the industry I work in,Pro developer,1.0,Yes,1.0,Between 10 and 15 years,5.0,12.5,"Yes, somewhat",4.0,4.0,0,0,1,0,0,0,0,0,0,1,0
32040,Lebanon,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Student,,,,"Yes, I use AI tools weekly","Yes, I learned how to use AI-enabled tools required for my job or to benefit my career","No, but I plan to",3.5,0,Student,Other/Unknown,,,0–2,1.0,4.0,9,3,12,5,1,0,7.0,7.0,,A few times per month or weekly,Less than once every 2 - 3 months,Favorable,Somewhat trust,"Good, but not great at handling complex tasks",No,Less than half of the time,I have neither consider or transitioned into a new career or industry,Occasional coder,3.0,Yes,1.0,Between 3 and 5 years,3.0,4.0,"Yes, somewhat",4.0,4.0,0,0,0,0,1,0,0,0,0,1,0
